Stonnington , 88
Banyule , 83
Melbourne , 68
Greater Geelong , 63
Boroondara , 61
Mornington Peninsula , 60
Casey , 53
Moreland , 51
Glen Eira , 46
Port Phillip , 46
Monash , 45
Hume , 37
Frankston , 36
Moonee Valley , 36
Darebin , 34
Brimbank , 33
Bayside , 30
Interstate , 30
Manningham , 29
Wyndham , 29
Kingston , 25
Yarra , 25
Whitehorse , 22
Whittlesea , 22
Nillumbik , 21
Yarra Ranges , 21
Melton , 18
Greater Dandenong , 14
Cardinia , 13
Hobsons Bay , 13
Knox , 12
Maroondah , 11
Moira , 11
Greater Shepparton , 10
Maribyrnong , 10
Surf Coast , 10
Wellington , 10
Ballarat , 9
Greater Bendigo , 9
Mitchell , 9
Latrobe , 7
Macedon Ranges , 7
Overseas , 7
Mount Alexander , 6
Baw Baw , 5
Mildura , 5
South Gippsland , 5
Warrnambool , 5
Bass Coast , 4
Benalla , 3
Horsham , 3
Loddon , 3
Mansfield , 3
Northern Grampians , 3
Swan Hill , 3
Campaspe , 2
Hepburn , 2
Southern Grampians , 2
Strathbogie , 2
Wangaratta , 2
Ararat , 1
Central Goldfields , 1
Corangamite , 1
East Gippsland , 1
Gannawarra , 1
Glenelg , 1
Golden Plains , 1
Moorabool , 1
Moyne , 1
Murrindindi , 1
West Wimmera , 1
Wodonga , 1
Yarriambiack , 1
