STONNINGTON,86
BANYULE,72
BOROONDARA,58
GREATER GEELONG,56
MORNINGTON PENINSULA,53
MELBOURNE,50
MORELAND,46
GLEN EIRA,46
MONASH,39
CASEY,40
PORT PHILLIP,38
FRANKSTON,35
HUME,32
MOONEE VALLEY,33
BRIMBANK,28
DAREBIN,29
WYNDHAM,27
BAYSIDE,27
MANNINGHAM,24
NILLUMBIK,21
YARRA,21
WHITEHORSE,20
YARRA RANGES,20
MELTON,18
KINGSTON,17
WHITTLESEA,18
HOBSONS BAY,13
KNOX,12
GREATER DANDENONG,12
BALLARAT,10
MARIBYRNONG,10
MOIRA,10
CARDINIA,10
GREATER BENDIGO,9
MAROONDAH,9
MITCHELL,9
SURF COAST,9
GREATER SHEPPARTON,8
MOUNT ALEXANDER,6
WELLINGTON,7
BAW BAW,5
LATROBE,5
MACEDON RANGES,5
WARRNAMBOOL,5
BENALLA,3
LODDON,3
MILDURA,3
NORTHERN GRAMPIANS,3
SOUTH GIPPSLAND,3
SOUTHERN GRAMPIANS,3
BASS COAST,2
CAMPASPE,2
HEPBURN,2
HORSHAM,2
MANSFIELD,2
STRATHBOGIE,2
SWAN HILL,2
ARARAT,1
CENTRAL GOLDFIELDS,1
CORANGAMITE,1
EAST GIPPSLAND,1
GANNAWARRA,1
GLENELG,1
GOLDEN PLAINS,1
MOORABOOL,1
MOYNE,1
MURRINDINDI,1
WANGARATTA,1
WEST WIMMERA,1
WODONGA,1
YARRIAMBIACK,1
