STONNINGTON,84
BANYULE,64
BOROONDARA,56
GREATER GEELONG,54
MORNINGTON PENINSULA,52
MELBOURNE,47
GLEN EIRA,45
MORELAND,45
MONASH,38
PORT PHILLIP,38
CASEY,37
FRANKSTON,33
HUME,31
MOONEE VALLEY,30
WYNDHAM,28
DAREBIN,27
BAYSIDE,26
BRIMBANK,26
YARRA,21
MANNINGHAM,20
WHITEHORSE,19
YARRA RANGES,19
MELTON,18
NILLUMBIK,18
KINGSTON,16
WHITTLESEA,15
HOBSONS BAY,13
KNOX,12
GREATER DANDENONG,11
BALLARAT,10
GREATER BENDIGO,10
MARIBYRNONG,10
MOIRA,10
CARDINIA,9
MAROONDAH,9
MITCHELL,9
SURF COAST,9
GREATER SHEPPARTON,8
MOUNT ALEXANDER,6
WELLINGTON,6
BAW BAW,5
LATROBE,5
MACEDON RANGES,5
WARRNAMBOOL,5
BENALLA,3
MILDURA,3
NORTHERN GRAMPIANS,3
SOUTH GIPPSLAND,3
SOUTHERN GRAMPIANS,3
BASS COAST,2
CAMPASPE,2
HEPBURN,2
HORSHAM,2
MANSFIELD,2
STRATHBOGIE,2
SWAN HILL,2
ARARAT,1
CENTRAL GOLDFIELDS,1
CORANGAMITE,1
EAST GIPPSLAND,1
GANNAWARRA,1
GLENELG,1
GOLDEN PLAINS,1
LODDON,1
MOORABOOL,1
MOYNE,1
MURRINDINDI,1
WANGARATTA,1
WEST WIMMERA,1
WODONGA,1
YARRIAMBIACK,1
